Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
IAD/20200729 07:15/UA2483/OP UA2483/Y/20200729 08:10/ORD-UA SAA2AKBN EOU PUBLIC,167.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30,standard legroom,no,ONE(0),standard,standard,
IAD/20200730 07:15/UA2483/OP UA2483/Y/20200730 08:10/ORD-UA SAA2AKBN EOU PUBLIC,167.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30,standard legroom,no,ONE(0),standard,standard,
IAD/20200731 07:15/UA2483/OP UA2483/Y/20200731 08:10/ORD-UA SAA2AKBN EOU PUBLIC,167.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30,standard legroom,no,ONE(0),standard,standard,
IAD/20200729 11:15/UA0484/OP UA0484/Y/20200729 12:31/ORD-UA SAA2AKBN EOU PUBLIC,167.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30,standard legroom,no,ONE(0),better,standard,
IAD/20200730 11:15/UA0484/OP UA0484/Y/20200730 12:31/ORD-UA SAA2AKBN EOU PUBLIC,167.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30,standard legroom,no,ONE(0),better,standard,
IAD/20200731 11:15/UA0484/OP UA0484/Y/20200731 12:31/ORD-UA SAA2AKBN EOU PUBLIC,167.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30,standard legroom,no,ONE(0),better,standard,
IAD/20200801 11:15/UA0484/OP UA0484/Y/20200801 12:31/ORD-UA SAA2AKBN EOU PUBLIC,167.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30,standard legroom,no,ONE(0),better,standard,
IAD/20200729 15:20/UA3637/OP UA3637/Y/20200729 16:31/ORD-UA SAA2AKBN EOU PUBLIC,167.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31,standard legroom,no,ONE(0),standard,standard,
IAD/20200730 15:20/UA3637/OP UA3637/Y/20200730 16:31/ORD-UA SAA2AKBN EOU PUBLIC,167.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31,standard legroom,no,ONE(0),standard,standard,
IAD/20200731 15:20/UA3637/OP UA3637/Y/20200731 16:31/ORD-UA SAA2AKBN EOU PUBLIC,167.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31,standard legroom,no,ONE(0),standard,standard,
