Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
IAD/20200729 10:30/UA3519/OP UA3519/Y/20200729 11:36/EWR~EWR/20200729 14:45/UA0359/OP UA0359/Y/20200729 18:03/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200801 10:30/UA3519/OP UA3519/Y/20200801 11:36/EWR~EWR/20200801 14:45/UA0359/OP UA0359/Y/20200801 18:03/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200730 10:30/UA3519/OP UA3519/Y/20200730 11:36/EWR~EWR/20200730 14:45/UA0359/OP UA0359/Y/20200730 18:03/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200731 10:30/UA3519/OP UA3519/Y/20200731 11:36/EWR~EWR/20200731 14:45/UA0359/OP UA0359/Y/20200731 18:03/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200802 10:30/UA3519/OP UA3519/Y/20200802 11:36/EWR~EWR/20200802 14:45/UA0359/OP UA0359/Y/20200802 18:03/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~better,standard~standard,
IAD/20200801 06:00/DL5115/OP DL5115/Y/20200801 07:25/JFK~JFK/20200801 08:05/DL1304/OP DL1304/Y/20200801 11:15/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),n/a~better,standard~standard,
IAD/20200801 10:02/DL4837/OP DL4837/Y/20200801 11:17/JFK~JFK/20200801 12:19/DL1177/OP DL1177/Y/20200801 15:32/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 18:30/DL4939/OP DL4939/Y/20200801 20:11/JFK~JFK/20200801 20:58/DL1222/OP DL1222/Y/20200802 00:13/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 06:00/DL5115/OP DL5115/Y/20200802 07:25/JFK~JFK/20200802 08:05/DL1304/OP DL1304/Y/20200802 11:19/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),n/a~better,standard~standard,
IAD/20200802 18:30/DL4939/OP DL4939/Y/20200802 20:15/JFK~JFK/20200802 20:58/DL1222/OP DL1222/Y/20200803 00:27/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 10:02/DL4837/OP DL4837/Y/20200802 11:18/JFK~JFK/20200802 12:19/DL1177/OP DL1177/Y/20200802 15:40/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),n/a~better,standard~standard,
DCA/20200802 12:40/DL4762/OP 9E4762/Y/20200802 13:46/RDU~RDU/20200802 17:35/DL5792/OP DL5792/Y/20200802 19:54/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~standard,standard~standard,
IAD/20200801 06:10/DL4032/OP DL4032/Y/20200801 07:43/DTW~DTW/20200801 08:30/DL1321/OP DL1321/Y/20200801 11:31/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,30~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 13:29/DL3614/OP DL3614/Y/20200801 15:09/DTW~DTW/20200801 15:52/DL2166/OP DL2166/Y/20200801 18:48/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 06:10/DL4032/OP DL4032/Y/20200802 07:44/DTW~DTW/20200802 08:30/DL1321/OP DL1321/Y/20200802 11:31/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,30~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 13:29/DL3614/OP DL3614/Y/20200802 15:10/DTW~DTW/20200802 15:52/DL2166/OP DL2166/Y/20200802 18:51/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200729 07:15/UA2483/OP UA2483/Y/20200729 08:10/ORD~ORD/20200729 09:10/UA0582/OP UA0582/Y/20200729 13:23/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~standard,
IAD/20200730 07:15/UA2483/OP UA2483/Y/20200730 08:10/ORD~ORD/20200730 09:10/UA0582/OP UA0582/Y/20200730 13:23/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~standard,
IAD/20200731 07:15/UA2483/OP UA2483/Y/20200731 08:10/ORD~ORD/20200731 09:10/UA0582/OP UA0582/Y/20200731 13:23/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~standard,
IAD/20200801 07:15/UA2483/OP UA2483/Y/20200801 08:10/ORD~ORD/20200801 09:10/UA0582/OP UA0582/Y/20200801 13:23/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~standard,
IAD/20200802 07:15/UA2483/OP UA2483/Y/20200802 08:10/ORD~ORD/20200802 09:10/UA0582/OP UA0582/Y/20200802 13:23/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~standard,
IAD/20200729 11:15/UA0484/OP UA0484/Y/20200729 12:31/ORD~ORD/20200729 14:10/UA3645/OP UA3645/Y/20200729 18:23/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30~31,standard legroom~standard legroom,no~no,ONE(0),better~standard,standard~standard,
IAD/20200731 11:15/UA0484/OP UA0484/Y/20200731 12:31/ORD~ORD/20200731 14:10/UA3645/OP UA3645/Y/20200731 18:23/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30~31,standard legroom~standard legroom,no~no,ONE(0),better~standard,standard~standard,
IAD/20200801 11:15/UA0484/OP UA0484/Y/20200801 12:31/ORD~ORD/20200801 14:10/UA3645/OP UA3645/Y/20200801 18:23/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30~31,standard legroom~standard legroom,no~no,ONE(0),better~standard,standard~standard,
IAD/20200730 11:15/UA0484/OP UA0484/Y/20200730 12:31/ORD~ORD/20200730 14:10/UA3645/OP UA3645/Y/20200730 18:23/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,30~31,standard legroom~standard legroom,no~no,ONE(0),better~standard,standard~standard,
IAD/20200802 11:15/UA3522/OP UA3522/Y/20200802 12:31/ORD~ORD/20200802 14:10/UA3645/OP UA3645/Y/20200802 18:23/MIA-UA LAA2AFBN EOU PUBLIC,137.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~standard,
IAD/20200730 07:00/DL2226/OP DL2226/Y/20200730 08:43/ATL~ATL/20200730 09:38/DL2294/OP DL2294/Y/20200730 11:25/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200731 07:00/DL2226/OP DL2226/Y/20200731 08:43/ATL~ATL/20200731 09:38/DL2294/OP DL2294/Y/20200731 11:25/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200729 10:55/DL1009/OP DL1009/Y/20200729 12:31/ATL~ATL/20200729 13:44/DL1767/OP DL1767/Y/20200729 15:35/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200730 10:55/DL1009/OP DL1009/Y/20200730 12:31/ATL~ATL/20200730 13:44/DL1767/OP DL1767/Y/20200730 15:35/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200731 10:55/DL1009/OP DL1009/Y/20200731 12:31/ATL~ATL/20200731 13:44/DL1767/OP DL1767/Y/20200731 15:35/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200729 07:00/DL2226/OP DL2226/Y/20200729 08:43/ATL~ATL/20200729 09:38/DL2294/OP DL2294/Y/20200729 11:25/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200729 14:30/DL0733/OP DL0733/Y/20200729 16:10/ATL~ATL/20200729 18:10/DL1058/OP DL1058/Y/20200729 19:59/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200731 14:30/DL0733/OP DL0733/Y/20200731 16:10/ATL~ATL/20200731 18:10/DL1058/OP DL1058/Y/20200731 19:59/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200730 14:30/DL0733/OP DL0733/Y/20200730 16:10/ATL~ATL/20200730 18:10/DL1058/OP DL1058/Y/20200730 19:59/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 05:45/DL2516/OP DL2516/Y/20200801 07:23/ATL~ATL/20200801 08:40/DL2294/OP DL2294/Y/20200801 10:30/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
IAD/20200801 07:45/DL2226/OP DL2226/Y/20200801 09:34/ATL~ATL/20200801 12:20/DL2007/OP DL2007/Y/20200801 14:03/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 11:50/DL2224/OP DL2224/Y/20200801 13:46/ATL~ATL/20200801 15:32/DL2094/OP DL2094/Y/20200801 17:31/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 13:25/DL2090/OP DL2090/Y/20200801 15:29/ATL~ATL/20200801 16:10/DL1636/OP DL1636/Y/20200801 18:10/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 05:45/DL2516/OP DL2516/Y/20200802 07:23/ATL~ATL/20200802 09:19/DL2192/OP DL2192/Y/20200802 11:14/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
IAD/20200802 07:45/DL2226/OP DL2226/Y/20200802 09:34/ATL~ATL/20200802 12:05/DL2007/OP DL2007/Y/20200802 13:53/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 11:50/DL2224/OP DL2224/Y/20200802 13:46/ATL~ATL/20200802 15:06/DL2094/OP DL2094/Y/20200802 17:10/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 13:25/DL2090/OP DL2090/Y/20200802 15:29/ATL~ATL/20200802 16:10/DL1636/OP DL1636/Y/20200802 18:10/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 15:25/DL2981/OP DL2981/Y/20200802 17:31/ATL~ATL/20200802 19:59/DL1901/OP DL1901/Y/20200802 21:59/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 19:40/DL3023/OP DL3023/Y/20200802 21:37/ATL~ATL/20200802 22:53/DL2248/OP DL2248/Y/20200803 00:45/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200729 07:00/DL2226/OP DL2226/Y/20200729 08:43/ATL~ATL/20200729 11:55/DL2016/OP DL2016/Y/20200729 13:40/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200730 07:00/DL2226/OP DL2226/Y/20200730 08:43/ATL~ATL/20200730 11:55/DL2016/OP DL2016/Y/20200730 13:40/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200731 07:00/DL2226/OP DL2226/Y/20200731 08:43/ATL~ATL/20200731 11:55/DL2016/OP DL2016/Y/20200731 13:40/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200730 17:05/DL0746/OP DL0746/Y/20200730 18:47/ATL~ATL/20200730 21:54/DL2057/OP DL2057/Y/20200730 23:45/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200731 17:05/DL0746/OP DL0746/Y/20200731 18:47/ATL~ATL/20200731 21:54/DL2057/OP DL2057/Y/20200731 23:45/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200729 17:05/DL0746/OP DL0746/Y/20200729 18:47/ATL~ATL/20200729 21:54/DL2057/OP DL2057/Y/20200729 23:45/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 11:50/DL2224/OP DL2224/Y/20200801 13:46/ATL~ATL/20200801 16:10/DL1636/OP DL1636/Y/20200801 18:10/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 17:55/DL2340/OP DL2340/Y/20200801 20:08/ATL~ATL/20200801 21:34/DL2155/OP DL2155/Y/20200801 23:29/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 11:50/DL2224/OP DL2224/Y/20200802 13:46/ATL~ATL/20200802 16:10/DL1636/OP DL1636/Y/20200802 18:10/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 17:55/DL2340/OP DL2340/Y/20200802 20:08/ATL~ATL/20200802 21:30/DL2155/OP DL2155/Y/20200802 23:25/MIA-DL XAVNA0BQ EOU PUBLIC,137.00 USD,DL,MAIN CABIN,1 free & personal item,1st for USD30  - 2nd for USD40,Anytime,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
