Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
IAD/20200729 17:30/UA6155/OP UA6155/Y/20200729 18:45/LGA-UA KAA2AFBN EOU PUBLIC,92.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31,standard legroom,no,ONE(0),standard,standard,
IAD/20200730 17:30/UA6155/OP UA6155/Y/20200730 18:45/LGA-UA KAA2AFBN EOU PUBLIC,92.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31,standard legroom,no,ONE(0),standard,standard,
IAD/20200731 17:30/UA6155/OP UA6155/Y/20200731 18:45/LGA-UA KAA2AFBN EOU PUBLIC,92.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31,standard legroom,no,ONE(0),standard,standard,
IAD/20200801 17:30/UA6155/OP UA6155/Y/20200801 18:45/LGA-UA KAA2AFBN EOU PUBLIC,92.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31,standard legroom,no,ONE(0),standard,standard,
IAD/20200802 17:30/UA6155/OP UA6155/Y/20200802 18:45/LGA-UA KAA2AFBN EOU PUBLIC,92.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31,standard legroom,no,ONE(0),standard,standard,
IAD/20200802 11:00/UA6101/OP UA6101/Y/20200802 12:09/LGA-UA KAA2AFBN EOU PUBLIC,92.50 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD45,Assigned or for a fee,Non-refundable,Free,31,standard legroom,no,ONE(0),standard,standard,
IAD/20200801 06:00/DL5115/OP DL5115/Y/20200801 07:25/JFK-DL XAVQA0BQ EOU PUBLIC,92.50 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31,standard legroom,no,TWO(0),n/a,standard,
IAD/20200801 10:02/DL4837/OP DL4837/Y/20200801 11:17/JFK-DL XAVQA0BQ EOU PUBLIC,92.50 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31,standard legroom,no,TWO(0),standard,standard,
IAD/20200801 14:44/DL4998/OP DL4998/Y/20200801 16:14/JFK-DL XAVQA0BQ EOU PUBLIC,92.50 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31,standard legroom,no,TWO(0),n/a,standard,
IAD/20200801 18:30/DL4939/OP DL4939/Y/20200801 20:11/JFK-DL XAVQA0BQ EOU PUBLIC,92.50 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31,standard legroom,no,TWO(0),standard,standard,
IAD/20200802 06:00/DL5115/OP DL5115/Y/20200802 07:25/JFK-DL XAVQA0BQ EOU PUBLIC,92.50 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31,standard legroom,no,TWO(0),n/a,standard,
IAD/20200802 10:02/DL4837/OP DL4837/Y/20200802 11:18/JFK-DL XAVQA0BQ EOU PUBLIC,92.50 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31,standard legroom,no,TWO(0),n/a,standard,
IAD/20200802 14:40/DL4998/OP DL4998/Y/20200802 16:15/JFK-DL XAVQA0BQ EOU PUBLIC,92.50 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31,standard legroom,no,TWO(0),n/a,standard,
IAD/20200802 18:30/DL4939/OP DL4939/Y/20200802 20:15/JFK-DL XAVQA0BQ EOU PUBLIC,92.50 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31,standard legroom,no,TWO(0),standard,standard,
DCA/20200801 06:00/DL2796/OP DL2796/Y/20200801 07:18/JFK-DL XAVQA0BQ EOU PUBLIC,92.50 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31,standard legroom,no,TWO(0),better,standard,
DCA/20200801 11:34/DL5614/OP DL5614/Y/20200801 12:49/JFK-DL XAVQA0BQ EOU PUBLIC,92.50 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31,standard legroom,no,TWO(0),standard,standard,
