Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
DCA/20200802 20:12/DL2363/OP DL2363/Y/20200802 21:55/DTW~DTW/20200803 08:59/DL0557/OP DL0557/Y/20200803 12:20/MEX~MEX/20200803 14:20/DL7984/OP AM0336/Y/20200803 16:00/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200802 20:12/DL2363/OP DL2363/Y/20200802 21:55/DTW~DTW/20200803 08:59/DL0557/OP DL0557/Y/20200803 12:20/MEX~MEX/20200803 21:05/DL9103/OP AM0340/Y/20200803 22:55/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200729 06:15/DL2644/OP DL2644/Y/20200729 07:36/DTW~DTW/20200729 09:00/DL0557/OP DL0557/Y/20200729 12:15/MEX~MEX/20200729 14:25/DL7984/OP AM0336/Y/20200729 15:58/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200731 06:15/DL2644/OP DL2644/Y/20200731 07:36/DTW~DTW/20200731 09:00/DL0557/OP DL0557/Y/20200731 12:15/MEX~MEX/20200731 14:25/DL7984/OP AM0336/Y/20200731 15:58/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200801 06:00/DL2644/OP DL2644/Y/20200801 07:30/DTW~DTW/20200801 08:59/DL0557/OP DL0557/Y/20200801 12:20/MEX~MEX/20200801 14:20/DL7984/OP AM0336/Y/20200801 16:00/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~better,standard~standard~standard,
DCA/20200802 20:12/DL2363/OP DL2363/Y/20200802 21:55/DTW~DTW/20200803 08:59/DL0557/OP DL0557/Y/20200803 12:20/MEX~MEX/20200804 07:00/DL8994/OP AM0330/Y/20200804 08:45/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200731 15:30/DL1211/OP DL1211/Y/20200731 16:57/DTW~DTW/20200801 08:59/DL0557/OP DL0557/Y/20200801 12:20/MEX~MEX/20200801 14:20/DL7984/OP AM0336/Y/20200801 16:00/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~better,standard~standard~standard,
DCA/20200729 06:15/DL2644/OP DL2644/Y/20200729 07:36/DTW~DTW/20200729 09:00/DL0557/OP DL0557/Y/20200729 12:15/MEX~MEX/20200729 16:50/DL9103/OP AM0338/Y/20200729 18:31/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200731 06:15/DL2644/OP DL2644/Y/20200731 07:36/DTW~DTW/20200731 09:00/DL0557/OP DL0557/Y/20200731 12:15/MEX~MEX/20200731 16:50/DL9103/OP AM0338/Y/20200731 18:31/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200802 20:12/DL2363/OP DL2363/Y/20200802 21:55/DTW~DTW/20200803 08:59/DL0557/OP DL0557/Y/20200803 12:20/MEX~MEX/20200803 14:20/AM0336/OP AM0336/Y/20200803 16:00/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200802 20:12/DL2363/OP DL2363/Y/20200802 21:55/DTW~DTW/20200803 08:59/DL0557/OP DL0557/Y/20200803 12:20/MEX~MEX/20200803 21:05/AM0340/OP AM0340/Y/20200803 22:55/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200729 06:15/DL2644/OP DL2644/Y/20200729 07:36/DTW~DTW/20200729 09:00/DL0557/OP DL0557/Y/20200729 12:15/MEX~MEX/20200729 14:25/AM0336/OP AM0336/Y/20200729 15:58/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
DCA/20200731 06:15/DL2644/OP DL2644/Y/20200731 07:36/DTW~DTW/20200731 09:00/DL0557/OP DL0557/Y/20200731 12:15/MEX~MEX/20200731 14:25/AM0336/OP AM0336/Y/20200731 15:58/PVR-DL KNNL0NMM SAP PUBLIC,344.00 USD,DL,MAIN CABIN,See rules,1st for USD30  - 2nd for USD55,Anytime,Non-refundable,Free,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,ONE(0),better~better~n/a,standard~standard~standard,
