Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
IAD/20200726 10:55/DL1009/OP DL1009/Y/20200726 12:31/ATL~ATL/20200726 14:36/DL2195/OP DL2195/Y/20200726 16:10/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200727 10:55/DL1009/OP DL1009/Y/20200727 12:31/ATL~ATL/20200727 14:36/DL2195/OP DL2195/Y/20200727 16:10/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200728 10:55/DL1009/OP DL1009/Y/20200728 12:31/ATL~ATL/20200728 14:36/DL2195/OP DL2195/Y/20200728 16:10/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200729 10:55/DL1009/OP DL1009/Y/20200729 12:31/ATL~ATL/20200729 14:36/DL2195/OP DL2195/Y/20200729 16:10/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200730 10:55/DL1009/OP DL1009/Y/20200730 12:31/ATL~ATL/20200730 14:36/DL2195/OP DL2195/Y/20200730 16:10/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200731 10:55/DL1009/OP DL1009/Y/20200731 12:31/ATL~ATL/20200731 14:36/DL2195/OP DL2195/Y/20200731 16:10/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200726 14:30/DL0733/OP DL0733/Y/20200726 16:10/ATL~ATL/20200726 17:38/DL2444/OP DL2444/Y/20200726 19:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200728 14:30/DL0733/OP DL0733/Y/20200728 16:10/ATL~ATL/20200728 17:38/DL2444/OP DL2444/Y/20200728 19:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200729 14:30/DL0733/OP DL0733/Y/20200729 16:10/ATL~ATL/20200729 17:38/DL2444/OP DL2444/Y/20200729 19:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200731 14:30/DL0733/OP DL0733/Y/20200731 16:10/ATL~ATL/20200731 17:38/DL2444/OP DL2444/Y/20200731 19:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200727 14:30/DL0733/OP DL0733/Y/20200727 16:10/ATL~ATL/20200727 17:38/DL2444/OP DL2444/Y/20200727 19:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200730 14:30/DL0733/OP DL0733/Y/20200730 16:10/ATL~ATL/20200730 17:38/DL2444/OP DL2444/Y/20200730 19:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 05:45/DL2516/OP DL2516/Y/20200801 07:23/ATL~ATL/20200801 08:28/DL2444/OP DL2444/Y/20200801 10:05/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
IAD/20200802 05:45/DL2516/OP DL2516/Y/20200802 07:23/ATL~ATL/20200802 08:28/DL2444/OP DL2444/Y/20200802 10:05/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
IAD/20200801 07:45/DL2226/OP DL2226/Y/20200801 09:34/ATL~ATL/20200801 10:37/DL2362/OP DL2362/Y/20200801 12:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 11:50/DL2224/OP DL2224/Y/20200801 13:46/ATL~ATL/20200801 14:33/DL2195/OP DL2195/Y/20200801 16:16/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 11:50/DL2224/OP DL2224/Y/20200802 13:46/ATL~ATL/20200802 14:33/DL2195/OP DL2195/Y/20200802 16:16/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 13:25/DL2090/OP DL2090/Y/20200801 15:29/ATL~ATL/20200801 16:20/DL2328/OP DL2328/Y/20200801 18:04/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 07:45/DL2226/OP DL2226/Y/20200802 09:34/ATL~ATL/20200802 10:37/DL2362/OP DL2362/Y/20200802 12:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 13:25/DL2090/OP DL2090/Y/20200802 15:29/ATL~ATL/20200802 16:20/DL2328/OP DL2328/Y/20200802 18:04/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 19:40/DL3023/OP DL3023/Y/20200802 21:37/ATL~ATL/20200802 22:20/DL2433/OP DL2433/Y/20200802 23:59/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200726 17:05/DL0746/OP DL0746/Y/20200726 18:47/ATL~ATL/20200726 21:46/DL0795/OP DL0795/Y/20200726 23:20/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200730 17:05/DL0746/OP DL0746/Y/20200730 18:47/ATL~ATL/20200730 21:46/DL0795/OP DL0795/Y/20200730 23:20/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200727 17:05/DL0746/OP DL0746/Y/20200727 18:47/ATL~ATL/20200727 21:46/DL0795/OP DL0795/Y/20200727 23:20/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
