Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
IAD/20200727 17:50/UA0950/OP UA0950/Y/20200728 07:15/BRU~BRU/20200728 08:50/LH2283/OP LH2283/Y/20200728 10:05/MUC~MUC/20200728 15:35/LH0718/OP LH0718/Y/20200729 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~30~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~standard~standard,
IAD/20200728 17:50/UA0950/OP UA0950/Y/20200729 07:15/BRU~BRU/20200729 08:50/LH2283/OP LH2283/Y/20200729 10:05/MUC~MUC/20200729 15:35/LH0718/OP LH0718/Y/20200730 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~30~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~standard~standard,
IAD/20200729 17:50/UA0950/OP UA0950/Y/20200730 07:15/BRU~BRU/20200730 08:50/LH2283/OP LH2283/Y/20200730 10:05/MUC~MUC/20200730 15:35/LH0718/OP LH0718/Y/20200731 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~30~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~standard~standard,
IAD/20200730 17:50/UA0950/OP UA0950/Y/20200731 07:15/BRU~BRU/20200731 08:50/LH2283/OP LH2283/Y/20200731 10:05/MUC~MUC/20200731 15:35/LH0718/OP LH0718/Y/20200801 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~30~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~standard~standard,
IAD/20200728 17:50/UA0950/OP UA0950/Y/20200729 07:15/BRU~BRU/20200729 09:50/LH2285/OP LH2285/Y/20200729 11:05/MUC~MUC/20200729 15:35/LH0718/OP LH0718/Y/20200730 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200729 17:50/UA0950/OP UA0950/Y/20200730 07:15/BRU~BRU/20200730 10:00/LH2285/OP LH2285/Y/20200730 11:15/MUC~MUC/20200730 15:35/LH0718/OP LH0718/Y/20200731 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200730 17:50/UA0950/OP UA0950/Y/20200731 07:15/BRU~BRU/20200731 10:00/LH2285/OP LH2285/Y/20200731 11:15/MUC~MUC/20200731 15:35/LH0718/OP LH0718/Y/20200801 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200727 17:50/UA0950/OP UA0950/Y/20200728 07:15/BRU~BRU/20200728 09:55/LH2285/OP LH2285/Y/20200728 11:10/MUC~MUC/20200728 15:35/LH0718/OP LH0718/Y/20200729 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~31~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200727 17:35/UA0989/OP UA0989/Y/20200728 07:20/FRA~FRA/20200728 09:15/LH0098/OP LH0098/Y/20200728 10:10/MUC~MUC/20200728 15:35/LH0718/OP LH0718/Y/20200729 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~30~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~n/a~standard,
IAD/20200728 17:35/UA0989/OP UA0989/Y/20200729 07:20/FRA~FRA/20200729 09:15/LH0098/OP LH0098/Y/20200729 10:10/MUC~MUC/20200729 15:35/LH0718/OP LH0718/Y/20200730 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~30~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~n/a~standard,
