Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
DCA/20200729 06:30/UA5659/OP UA5659/Y/20200729 08:43/IAH~IAH/20200729 09:55/UA0707/OP UA0707/Y/20200729 11:52/SJD-UA LNA2A3BN EOU PUBLIC,226.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200730 06:30/UA5659/OP UA5659/Y/20200730 08:43/IAH~IAH/20200730 09:55/UA0707/OP UA0707/Y/20200730 11:52/SJD-UA LNA2A3BN EOU PUBLIC,226.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200731 06:30/UA5659/OP UA5659/Y/20200731 08:43/IAH~IAH/20200731 09:55/UA0707/OP UA0707/Y/20200731 11:52/SJD-UA LNA2A3BN EOU PUBLIC,226.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200801 06:30/UA5659/OP UA5659/Y/20200801 08:43/IAH~IAH/20200801 09:55/UA0707/OP UA0707/Y/20200801 11:52/SJD-UA LNA2A3BN EOU PUBLIC,226.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200727 06:30/UA5659/OP UA5659/Y/20200727 08:43/IAH~IAH/20200727 09:55/UA0707/OP UA0707/Y/20200727 11:52/SJD-UA LNA4A3BN EOU PUBLIC,246.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200728 06:30/UA5659/OP UA5659/Y/20200728 08:43/IAH~IAH/20200728 09:55/UA0707/OP UA0707/Y/20200728 11:52/SJD-UA LNA4A3BN EOU PUBLIC,246.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200729 06:30/UA5659/OP UA5659/Y/20200729 08:43/IAH~IAH/20200729 09:55/UA0707/OP UA0707/Y/20200729 11:52/SJD-UA LNA4A3BN EOU PUBLIC,246.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200730 06:30/UA5659/OP UA5659/Y/20200730 08:43/IAH~IAH/20200730 09:55/UA0707/OP UA0707/Y/20200730 11:52/SJD-UA LNA4A3BN EOU PUBLIC,246.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200731 06:30/UA5659/OP UA5659/Y/20200731 08:43/IAH~IAH/20200731 09:55/UA0707/OP UA0707/Y/20200731 11:52/SJD-UA LNA4A3BN EOU PUBLIC,246.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200801 06:30/UA5659/OP UA5659/Y/20200801 08:43/IAH~IAH/20200801 09:55/UA0707/OP UA0707/Y/20200801 11:52/SJD-UA LNA4A3BN EOU PUBLIC,246.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200729 06:30/UA5659/OP UA5659/Y/20200729 08:43/IAH~IAH/20200729 09:55/UA0707/OP UA0707/Y/20200729 11:52/SJD-UA LNA2A3DN SIP PUBLIC,256.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD60,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~standard,standard~n/a,
DCA/20200730 06:30/UA5659/OP UA5659/Y/20200730 08:43/IAH~IAH/20200730 09:55/UA0707/OP UA0707/Y/20200730 11:52/SJD-UA LNA2A3DN SIP PUBLIC,256.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD60,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~standard,standard~n/a,
DCA/20200731 06:30/UA5659/OP UA5659/Y/20200731 08:43/IAH~IAH/20200731 09:55/UA0707/OP UA0707/Y/20200731 11:52/SJD-UA LNA2A3DN SIP PUBLIC,256.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD60,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~standard,standard~n/a,
DCA/20200801 06:30/UA5659/OP UA5659/Y/20200801 08:43/IAH~IAH/20200801 09:55/UA0707/OP UA0707/Y/20200801 11:52/SJD-UA LNA2A3DN SIP PUBLIC,256.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD60,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~standard,standard~n/a,
DCA/20200727 06:30/UA5659/OP UA5659/Y/20200727 08:43/IAH~IAH/20200727 09:55/UA0707/OP UA0707/Y/20200727 11:52/SJD-UA LNA4A3DN SIP PUBLIC,276.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD60,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~standard,standard~n/a,
DCA/20200728 06:30/UA5659/OP UA5659/Y/20200728 08:43/IAH~IAH/20200728 09:55/UA0707/OP UA0707/Y/20200728 11:52/SJD-UA LNA4A3DN SIP PUBLIC,276.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD60,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~standard,standard~n/a,
DCA/20200729 06:30/UA5659/OP UA5659/Y/20200729 08:43/IAH~IAH/20200729 09:55/UA0707/OP UA0707/Y/20200729 11:52/SJD-UA LNA4A3DN SIP PUBLIC,276.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD60,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~standard,standard~n/a,
DCA/20200730 06:30/UA5659/OP UA5659/Y/20200730 08:43/IAH~IAH/20200730 09:55/UA0707/OP UA0707/Y/20200730 11:52/SJD-UA LNA4A3DN SIP PUBLIC,276.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD60,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~standard,standard~n/a,
DCA/20200731 06:30/UA5659/OP UA5659/Y/20200731 08:43/IAH~IAH/20200731 09:55/UA0707/OP UA0707/Y/20200731 11:52/SJD-UA LNA4A3DN SIP PUBLIC,276.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD60,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~standard,standard~n/a,
DCA/20200801 06:30/UA5659/OP UA5659/Y/20200801 08:43/IAH~IAH/20200801 09:55/UA0707/OP UA0707/Y/20200801 11:52/SJD-UA LNA4A3DN SIP PUBLIC,276.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD60,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~standard,standard~n/a,
DCA/20200727 06:30/UA5659/OP UA5659/Y/20200727 08:43/IAH~IAH/20200727 09:55/UA0707/OP UA0707/Y/20200727 11:52/SJD-UA TNA7A3BN EOU PUBLIC,276.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200728 06:30/UA5659/OP UA5659/Y/20200728 08:43/IAH~IAH/20200728 09:55/UA0707/OP UA0707/Y/20200728 11:52/SJD-UA TNA7A3BN EOU PUBLIC,276.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200729 06:30/UA5659/OP UA5659/Y/20200729 08:43/IAH~IAH/20200729 09:55/UA0707/OP UA0707/Y/20200729 11:52/SJD-UA TNA7A3BN EOU PUBLIC,276.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200730 06:30/UA5659/OP UA5659/Y/20200730 08:43/IAH~IAH/20200730 09:55/UA0707/OP UA0707/Y/20200730 11:52/SJD-UA TNA7A3BN EOU PUBLIC,276.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200731 06:30/UA5659/OP UA5659/Y/20200731 08:43/IAH~IAH/20200731 09:55/UA0707/OP UA0707/Y/20200731 11:52/SJD-UA TNA7A3BN EOU PUBLIC,276.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200801 06:30/UA5659/OP UA5659/Y/20200801 08:43/IAH~IAH/20200801 09:55/UA0707/OP UA0707/Y/20200801 11:52/SJD-UA TNA7A3BN EOU PUBLIC,276.00 USD,UA,BASIC ECONOMY,For a fee,1st for USD35  - 2nd for USD60,Assigned or for a fee,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,ONE(0),standard~standard,standard~n/a,
DCA/20200727 06:30/UA5659/OP UA5659/Y/20200727 08:43/IAH~IAH/20200727 09:55/UA0707/OP UA0707/Y/20200727 11:52/SJD-UA TNA7A3DN SIP PUBLIC,306.00 USD,UA,ECONOMY,1 free & personal item,1st for USD35  - 2nd for USD60,Anytime,Non-refundable,Free,31~30,standard legroom~standard legroom,no~no,TWO(0),standard~standard,standard~n/a,
